Quarter,Internet Penetration Rate,Revenue per passing,Cost To Service Customer Per Capita,Other costs per passing
Q1 2019,50%,$78.31 ,$35.46 ,$43.34 
Q2 2019,50%,$79.49 ,$34.23 ,$41.84 
Q3 2019,51%,$80.77 ,$36.47 ,$44.57 
Q4 2019,51%,$83.31 ,$34.40 ,$42.04 
FY 2019,51%,$319.57 ,$139.53 ,$170.54 
Q1 2020,52%,$84.07 ,$35.26 ,$43.09 
Q2 2020,53%,$85.94 ,$35.06 ,$42.85 
Q3 2020,54%,$89.06 ,$35.87 ,$43.84 
Q4 2020,54%,$91.22 ,$35.16 ,$42.97 
FY 2020,54%,$347.49 ,$140.19 ,$171.34 
Q1 2021,55%,$94.90 ,$33.66 ,$41.14 
Q2 2021,55%,$96.89 ,$33.91 ,$41.44 
Q3 2021,55%,$99.04 ,$35.07 ,$42.86 
